Gene,Unnamed: 0,Count,Mean,Std,q1,q2,q3,q4,A,B
group_3200,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
group_1748,2,416.0,0.0013734052125384804,0.0016471348272407568,0.0,0.0,0.0031152647975077885,0.009345794392523366,295,121
trxA,3,419.0,0.0006325496610924492,0.0033737848157034326,0.0,0.0,0.0,0.054054054054054064,298,121
group_1352,4,414.0,0.00560705887915148,0.03028062038217802,0.0,0.001615508885298822,0.001615508885298822,0.2245557350565428,293,121
group_1575,5,2.0,0.3134218289085546,0.3134218289085546,0.0,0.3134218289085546,0.6268436578171092,0.6268436578171092,1,1
glnH,6,438.0,0.09057828540269863,0.19665869282369813,0.0,0.0011695906432748204,0.0011695906432748204,0.983625730994152,315,123
recX,7,415.0,0.0011405597354210994,0.0015059401545386428,0.0,0.0,0.0021645021645021467,0.017316017316017285,295,120
mtgA,8,416.0,0.0031287568327601576,0.002570100256514384,0.0,0.002849002849002802,0.0042735042735042575,0.009971509971509971,295,121
group_2519,9,61.0,0.0012245725085211212,0.0020487216252055825,0.0,0.0,0.0032362459546925178,0.009708737864077666,12,49
fitA,11,417.0,2.0188445060968257e-05,0.00029116273659168015,0.0,0.0,0.0,0.00421940928270037,296,121
group_2724,12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
group_2103,13,417.0,0.002218635430051918,0.002312815849312872,0.0,0.0,0.00462962962962965,0.00462962962962965,296,121
group_39,14,460.0,0.18864604542529032,0.2430280793073351,0.0021413276231263545,0.03854389721627405,0.4097073518915061,0.9179157744468236,328,132
ypmQ,15,417.0,0.00356380462259458,0.0022086865798666,0.0015290519877675381,0.0030581039755351873,0.006116207951070375,0.00917431192660545,296,121
group_302,16,416.0,0.11104623755937286,0.10965043428370756,0.0,0.010204081632653073,0.22108843537414968,0.2312925170068028,295,121
cpxA,20,419.0,0.0014990871359457725,0.0011226073821572486,0.000710732054015617,0.001421464108031234,0.002132196162046962,0.006396588486140775,298,121
group_1848,21,281.0,0.0003855630557420073,0.0011072418134292392,0.0,0.0,0.0,0.008888888888888835,165,116
group_1406,22,416.0,0.0013096663163085233,0.016012779778115504,0.0,0.0,0.0,0.2350877192982456,295,121
fis,24,419.0,0.0006962442304004469,0.0018780273281923281,0.0,0.0,0.0,0.012499999999999956,298,121
minD,25,416.0,0.0010608177835668255,0.0009300678622834133,0.0,0.001225490196078427,0.001225490196078427,0.003676470588235281,295,121
mlaF,26,417.0,0.000686494907921033,0.0007928720606446805,0.0,0.0012422360248447448,0.0012422360248447448,0.008695652173912993,296,121
group_4053,27,419.0,0.00011437802977392937,0.0006710510108929582,0.0,0.0,0.0,0.008032128514056214,298,121
group_2824,28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
group_2582,29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
group_456,31,418.0,0.010107607357327571,0.06232723862121984,0.000630119722747291,0.001890359168241984,0.005671077504725952,0.968494013862634,297,121
group_818,32,418.0,0.004658815061016738,0.011744118151075721,0.0,0.003401360544217691,0.003401360544217691,0.08163265306122447,297,121
group_399,33,285.0,0.032459487901039134,0.11908913721984428,0.0,0.0009523809523809268,0.0038095238095238173,0.9733333333333334,165,120
narQ,34,419.0,0.024066629729386942,0.1096885334704912,0.0005649717514124575,0.0005649717514124575,0.0016949152542372616,0.9593220338983052,298,121
norB,35,472.0,0.20867545388304728,0.2959013504782728,0.0013245033112583293,0.0022075055187638077,0.4653421633554083,0.9977924944812362,301,171
rpsT,36,418.0,0.003573254580557524,0.004536272237372218,0.0,0.003787878787878785,0.003787878787878785,0.02272727272727271,297,121
group_1389,37,418.0,0.0038618621368558532,0.003139067730460835,0.0022222222222222365,0.0022222222222222365,0.006666666666666711,0.013333333333333308,297,121
rimM,40,419.0,0.001797219021465188,0.001540341118750492,0.0,0.0019607843137254832,0.0019607843137254832,0.009803921568627416,298,121
group_1793,41,418.0,0.0005556837933928528,0.0009787251113505962,0.0,0.0,0.002123142250530785,0.00424628450106157,297,121
group_3729,42,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
group_1261,43,423.0,0.00411927870408924,0.003734608003498733,0.0,0.003436426116838476,0.006872852233676952,0.013745704467353905,298,125
group_1446,44,3.0,0.004031242126480243,0.004507065714285313,0.0,0.0,0.009070294784580546,0.009070294784580546,3,0
rplI,45,419.0,0.00361130555767534,0.0032395329264152607,0.0,0.0022075055187638077,0.006622516556291425,0.013245033112582738,298,121
group_4013,48,419.0,5.155752425029021e-05,0.0003713499293674103,0.0,0.0,0.0,0.005420054200542035,298,121
citN,50,419.0,0.0010810831711938515,0.0010852979153121358,0.0,0.0007610350076103777,0.0015220700152207554,0.0053272450532724225,298,121
group_1708,52,417.0,0.00040808448785588586,0.0011443435439040491,0.0,0.0,0.0,0.007017543859649146,296,121
group_1893,53,296.0,0.000888583896396398,0.002475046250541841,0.0,0.0,0.0,0.015625,188,108
parE,57,416.0,0.0006680255644208804,0.0005872781637519003,0.0005027652086475598,0.0005027652086475598,0.0010055304172951196,0.005530417295123158,295,121
group_1535,58,2.0,0.17737003058103973,0.17737003058103973,0.0,0.17737003058103973,0.35474006116207946,0.35474006116207946,1,1
nqrB,59,419.0,0.0005961193673227849,0.000583642595667962,0.0,0.0008110300081103361,0.0008110300081103361,0.004866180048661794,298,121
group_758,60,281.0,0.010900492707967278,0.03827141020856617,0.0,0.0,0.0,0.1582491582491582,165,116
group_79,61,346.0,0.2259765054149749,0.17036281526612376,0.04983388704318936,0.19933554817275745,0.3687707641196013,0.6079734219269103,242,104
serS,62,416.0,0.002520958390975399,0.008081901147236841,0.0007716049382715529,0.0015432098765432167,0.0023148148148147696,0.16280864197530864,295,121
